datTypeID	datName	PFTtype	Cltype	
1	PFT1	23	clonal0	
4	PFT4	14	clonal0	
8	PFT8	5	clonal0	
13	PFT13	50	clonal0	
21	PFT21	68	clonal0	
24	PFT24	59	clonal0	
26	PFT26	22	clonal0	
29	PFT29	13	clonal0	
32	PFT32	15	clonal0	
33	PFT33	51	clonal0	
37	PFT37	42	clonal0	
43	PFT43	33	clonal0	
48	PFT48	69	clonal0	
54	PFT54	48	clonal0	
56	PFT56	39	clonal0	
59	PFT59	30	clonal0	
67	PFT67	17	clonal0	
69	PFT69	8	clonal0	
73	PFT73	44	clonal0	
77	PFT77	71	clonal0	
85	PFT85	18	clonal0	
88	PFT88	54	clonal0	
90	PFT90	45	clonal0	
96	PFT96	72	clonal0	
98	PFT98	63	clonal0	
5	PFT5	14	clonal2	
9	PFT9	5	clonal2	
27	PFT27	22	clonal2	
34	PFT34	51	clonal2	
38	PFT38	42	clonal2	
44	PFT44	33	clonal2	
52	PFT52	29	clonal2	
55	PFT55	48	clonal2	
60	PFT60	30	clonal2	
62	PFT62	30	clonal2	
70	PFT70	8	clonal2	
2	PFT2	23	clonal1	
6	PFT6	14	clonal1	
11	PFT11	5	clonal1	
14	PFT14	50	clonal1	
16	PFT16	41	clonal1
19	PFT19	32	clonal1
20	PFT20	77	clonal1
22	PFT22	68	clonal1
28	PFT28	22	clonal1
31	PFT31	64	clonal1
35	PFT35	51	clonal1
40	PFT40	42	clonal1
41	PFT41	42	clonal1
46	PFT46	33	clonal1
47	PFT47	78	clonal1
49	PFT49	69	clonal1
50	PFT50	60	clonal1
51	PFT51	38	clonal1
57	PFT57	39	clonal1
63	PFT63	30	clonal1
72	PFT72	53	clonal1
78	PFT78	71	clonal1
83	PFT83	7	clonal1
92	PFT92	45	clonal1
101	PFT101	57	clonal1
10	PFT10	5	clonal4
15	PFT15	41	clonal4
18	PFT18	32	clonal4
25	PFT25	59	clonal4
39	PFT39	42	clonal4
45	PFT45	33	clonal4
61	PFT61	30	clonal4
65	PFT65	26	clonal4
71	PFT71	8	clonal4
74	PFT74	44	clonal4
76	PFT76	80	clonal4
80	PFT80	25	clonal4
82	PFT82	7	clonal4
87	PFT87	9	clonal4
89	PFT89	54	clonal4
91	PFT91	45	clonal4
94	PFT94	36	clonal4
97	PFT97	72	clonal4
99	PFT99	63	clonal4
3	PFT3	23	clonal3
7	PFT7	14	clonal3
12	PFT12	5	clonal3
17	PFT17	41	clonal3
23	PFT23	68	clonal3
30	PFT30	13	clonal3
36	PFT36	51	clonal3
42	PFT42	42	clonal3
53	PFT53	64	clonal3
58	PFT58	39	clonal3
64	PFT64	30	clonal3
66	PFT66	26	clonal3
68	PFT68	17	clonal3
75	PFT75	44	clonal3
79	PFT79	71	clonal3
81	PFT81	25	clonal3
84	PFT84	79	clonal3
86	PFT86	18	clonal3
93	PFT93	45	clonal3
95	PFT95	36	clonal3
100	PFT100	58	clonal3
