TypeID	Name	yearstart	N0	maxAge	alSeed 	LMR	m0	maxMass	mSeed	Dist	pEstab	Gmax	memo	SLA	palat	RAR	growth	mThres	Dorm	wFlower	wDisp
1	PFT1	1	20	100	0.05	1	1	5000	1	0.1	0.5	60	2	1	1	1	0.25	0.2	1	16	20
2	PFT2	1	20	100	0.05	1	0.3	2000	0.3	0.3	0.5	60	2	1	1	1	0.25	0.2	1	16	20
3	PFT3	1	20	100	0.05	1	0.1	1000	0.1	0.6	0.5	60	2	1	1	1	0.25	0.2	1	16	20
4	PFT4	1	20	100	0.05	0.75	1	5000	1	0.1	0.5	60	2	1	1	1	0.25	0.2	1	16	20
5	PFT5	1	20	100	0.05	0.75	0.3	2000	0.3	0.3	0.5	60	2	1	1	1	0.25	0.2	1	16	20
6	PFT6	1	20	100	0.05	0.75	0.1	1000	0.1	0.6	0.5	60	2	1	1	1	0.25	0.2	1	16	20
7	PFT7	1	20	100	0.05	0.5	1	5000	1	0.1	0.5	60	2	1	1	1	0.25	0.2	1	16	20
8	PFT8	1	20	100	0.05	0.5	0.3	2000	0.3	0.3	0.5	60	2	1	1	1	0.25	0.2	1	16	20
9	PFT9	1	20	100	0.05	0.5	0.1	1000	0.1	0.6	0.5	60	2	1	1	1	0.25	0.2	1	16	20
10	PFT10	1	20	100	0.05	1	1	5000	1	0.1	0.5	60	2	0.75	0.5	1	0.25	0.2	1	16	20
11	PFT11	1	20	100	0.05	1	0.3	2000	0.3	0.3	0.5	60	2	0.75	0.5	1	0.25	0.2	1	16	20
12	PFT12	1	20	100	0.05	1	0.1	1000	0.1	0.6	0.5	60	2	0.75	0.5	1	0.25	0.2	1	16	20
13	PFT13	1	20	100	0.05	0.75	1	5000	1	0.1	0.5	60	2	0.75	0.5	1	0.25	0.2	1	16	20
14	PFT14	1	20	100	0.05	0.75	0.3	2000	0.3	0.3	0.5	60	2	0.75	0.5	1	0.25	0.2	1	16	20
15	PFT15	1	20	100	0.05	0.75	0.1	1000	0.1	0.6	0.5	60	2	0.75	0.5	1	0.25	0.2	1	16	20
16	PFT16	1	20	100	0.05	0.5	1	5000	1	0.1	0.5	60	2	0.75	0.5	1	0.25	0.2	1	16	20
17	PFT17	1	20	100	0.05	0.5	0.3	2000	0.3	0.3	0.5	60	2	0.75	0.5	1	0.25	0.2	1	16	20
18	PFT18	1	20	100	0.05	0.5	0.1	1000	0.1	0.6	0.5	60	2	0.75	0.5	1	0.25	0.2	1	16	20
19	PFT19	1	20	100	0.05	1	1	5000	1	0.1	0.5	60	2	0.5	0.25	1	0.25	0.2	1	16	20
20	PFT20	1	20	100	0.05	1	0.3	2000	0.3	0.3	0.5	60	2	0.5	0.25	1	0.25	0.2	1	16	20
21	PFT21	1	20	100	0.05	1	0.1	1000	0.1	0.6	0.5	60	2	0.5	0.25	1	0.25	0.2	1	16	20
22	PFT22	1	20	100	0.05	0.75	1	5000	1	0.1	0.5	60	2	0.5	0.25	1	0.25	0.2	1	16	20
23	PFT23	1	20	100	0.05	0.75	0.3	2000	0.3	0.3	0.5	60	2	0.5	0.25	1	0.25	0.2	1	16	20
24	PFT24	1	20	100	0.05	0.75	0.1	1000	0.1	0.6	0.5	60	2	0.5	0.25	1	0.25	0.2	1	16	20
25	PFT25	1	20	100	0.05	0.5	1	5000	1	0.1	0.5	60	2	0.5	0.25	1	0.25	0.2	1	16	20
26	PFT26	1	20	100	0.05	0.5	0.3	2000	0.3	0.3	0.5	60	2	0.5	0.25	1	0.25	0.2	1	16	20
27	PFT27	1	20	100	0.05	0.5	0.1	1000	0.1	0.6	0.5	60	2	0.5	0.25	1	0.25	0.2	1	16	20
28	PFT28	1	20	100	0.05	1	1	5000	1	0.1	0.5	40	4	1	1	1	0.25	0.2	1	16	20
29	PFT29	1	20	100	0.05	1	0.3	2000	0.3	0.3	0.5	40	4	1	1	1	0.25	0.2	1	16	20
30	PFT30	1	20	100	0.05	1	0.1	1000	0.1	0.6	0.5	40	4	1	1	1	0.25	0.2	1	16	20
31	PFT31	1	20	100	0.05	0.75	1	5000	1	0.1	0.5	40	4	1	1	1	0.25	0.2	1	16	20
32	PFT32	1	20	100	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	4	1	1	1	0.25	0.2	1	16	20
33	PFT33	1	20	100	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	4	1	1	1	0.25	0.2	1	16	20
34	PFT34	1	20	100	0.05	0.5	1	5000	1	0.1	0.5	40	4	1	1	1	0.25	0.2	1	16	20
35	PFT35	1	20	100	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	4	1	1	1	0.25	0.2	1	16	20
36	PFT36	1	20	100	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	4	1	1	1	0.25	0.2	1	16	20
37	PFT37	1	20	100	0.05	1	1	5000	1	0.1	0.5	40	4	0.75	0.5	1	0.25	0.2	1	16	20
38	PFT38	1	20	100	0.05	1	0.3	2000	0.3	0.3	0.5	40	4	0.75	0.5	1	0.25	0.2	1	16	20
39	PFT39	1	20	100	0.05	1	0.1	1000	0.1	0.6	0.5	40	4	0.75	0.5	1	0.25	0.2	1	16	20
40	PFT40	1	20	100	0.05	0.75	1	5000	1	0.1	0.5	40	4	0.75	0.5	1	0.25	0.2	1	16	20
41	PFT41	1	20	100	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	4	0.75	0.5	1	0.25	0.2	1	16	20
42	PFT42	1	20	100	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	4	0.75	0.5	1	0.25	0.2	1	16	20
43	PFT43	1	20	100	0.05	0.5	1	5000	1	0.1	0.5	40	4	0.75	0.5	1	0.25	0.2	1	16	20
44	PFT44	1	20	100	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	4	0.75	0.5	1	0.25	0.2	1	16	20
45	PFT45	1	20	100	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	4	0.75	0.5	1	0.25	0.2	1	16	20
46	PFT46	1	20	100	0.05	1	1	5000	1	0.1	0.5	40	4	0.5	0.25	1	0.25	0.2	1	16	20
47	PFT47	1	20	100	0.05	1	0.3	2000	0.3	0.3	0.5	40	4	0.5	0.25	1	0.25	0.2	1	16	20
48	PFT48	1	20	100	0.05	1	0.1	1000	0.1	0.6	0.5	40	4	0.5	0.25	1	0.25	0.2	1	16	20
49	PFT49	1	20	100	0.05	0.75	1	5000	1	0.1	0.5	40	4	0.5	0.25	1	0.25	0.2	1	16	20
50	PFT50	1	20	100	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	4	0.5	0.25	1	0.25	0.2	1	16	20
51	PFT51	1	20	100	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	4	0.5	0.25	1	0.25	0.2	1	16	20
52	PFT52	1	20	100	0.05	0.5	1	5000	1	0.1	0.5	40	4	0.5	0.25	1	0.25	0.2	1	16	20
53	PFT53	1	20	100	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	4	0.5	0.25	1	0.25	0.2	1	16	20
54	PFT54	1	20	100	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	4	0.5	0.25	1	0.25	0.2	1	16	20
55	PFT55	1	20	100	0.05	1	1	5000	1	0.1	0.5	20	6	1	1	1	0.25	0.2	1	16	20
56	PFT56	1	20	100	0.05	1	0.3	2000	0.3	0.3	0.5	20	6	1	1	1	0.25	0.2	1	16	20
57	PFT57	1	20	100	0.05	1	0.1	1000	0.1	0.6	0.5	20	6	1	1	1	0.25	0.2	1	16	20
58	PFT58	1	20	100	0.05	0.75	1	5000	1	0.1	0.5	20	6	1	1	1	0.25	0.2	1	16	20
59	PFT59	1	20	100	0.05	0.75	0.3	2000	0.3	0.3	0.5	20	6	1	1	1	0.25	0.2	1	16	20
60	PFT60	1	20	100	0.05	0.75	0.1	1000	0.1	0.6	0.5	20	6	1	1	1	0.25	0.2	1	16	20
61	PFT61	1	20	100	0.05	0.5	1	5000	1	0.1	0.5	20	6	1	1	1	0.25	0.2	1	16	20
62	PFT62	1	20	100	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	6	1	1	1	0.25	0.2	1	16	20
63	PFT63	1	20	100	0.05	0.5	0.1	1000	0.1	0.6	0.5	20	6	1	1	1	0.25	0.2	1	16	20
64	PFT64	1	20	100	0.05	1	1	5000	1	0.1	0.5	20	6	0.75	0.5	1	0.25	0.2	1	16	20
65	PFT65	1	20	100	0.05	1	0.3	2000	0.3	0.3	0.5	20	6	0.75	0.5	1	0.25	0.2	1	16	20
66	PFT66	1	20	100	0.05	1	0.1	1000	0.1	0.6	0.5	20	6	0.75	0.5	1	0.25	0.2	1	16	20
67	PFT67	1	20	100	0.05	0.75	1	5000	1	0.1	0.5	20	6	0.75	0.5	1	0.25	0.2	1	16	20
68	PFT68	1	20	100	0.05	0.75	0.3	2000	0.3	0.3	0.5	20	6	0.75	0.5	1	0.25	0.2	1	16	20
69	PFT69	1	20	100	0.05	0.75	0.1	1000	0.1	0.6	0.5	20	6	0.75	0.5	1	0.25	0.2	1	16	20
70	PFT70	1	20	100	0.05	0.5	1	5000	1	0.1	0.5	20	6	0.75	0.5	1	0.25	0.2	1	16	20
71	PFT71	1	20	100	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	6	0.75	0.5	1	0.25	0.2	1	16	20
72	PFT72	1	20	100	0.05	0.5	0.1	1000	0.1	0.6	0.5	20	6	0.75	0.5	1	0.25	0.2	1	16	20
73	PFT73	1	20	100	0.05	1	1	5000	1	0.1	0.5	20	6	0.5	0.25	1	0.25	0.2	1	16	20
74	PFT74	1	20	100	0.05	1	0.3	2000	0.3	0.3	0.5	20	6	0.5	0.25	1	0.25	0.2	1	16	20
75	PFT75	1	20	100	0.05	1	0.1	1000	0.1	0.6	0.5	20	6	0.5	0.25	1	0.25	0.2	1	16	20
76	PFT76	1	20	100	0.05	0.75	1	5000	1	0.1	0.5	20	6	0.5	0.25	1	0.25	0.2	1	16	20
77	PFT77	1	20	100	0.05	0.75	0.3	2000	0.3	0.3	0.5	20	6	0.5	0.25	1	0.25	0.2	1	16	20
78	PFT78	1	20	100	0.05	0.75	0.1	1000	0.1	0.6	0.5	20	6	0.5	0.25	1	0.25	0.2	1	16	20
79	PFT79	1	20	100	0.05	0.5	1	5000	1	0.1	0.5	20	6	0.5	0.25	1	0.25	0.2	1	16	20
80	PFT80	1	20	100	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	6	0.5	0.25	1	0.25	0.2	1	16	20
81	PFT81	1	20	100	0.05	0.5	0.1	1000	0.1	0.6	0.5	20	6	0.5	0.25	1	0.25	0.2	1	16	20
