ID	Species	AllocSeed	LMR	maxMass	mSeed	Dist	pEstab	Gmax	SLA1	palat	memo	RAR	respAnox	propSex	meanSpacerLength	Resshare	mSpacer	clonal
1	Phrgmtsa	0.1	0.5	233046	0.13	23.26	0.5	40	0.457627118644068	0.1	5	1	0.5	0.1	25	1	250	1
2	Blbschnm	0.1	0.75	5462	2.48	0.26	0.5	40	0.347457627118644	0.06	5	1	0.5	0.1	25	1	36.4133191726036	1
3	Lolmprnn	0.15	0.75	44	1.99	0.31	0.5	60	0.771186440677966	0.3	2	1	0	1	1	1	5	1
5	Ppratnss	0.1	0.62	568	0.27	0.43	0.5	60	0.635593220338983	0.2	2	1	0	0.1	10	1	9.14192688798531	1
6	Trxcmoff	0.15	1	312	0.63	0.76	0.5	46.66	0.822033898305085	0.34	4	1	0	0.1	0	0	0	0
7	Trflmprt	0.1	0.62	4552	1.53	0.18	0.5	60	0.669491525423729	0.22	2	1	0	0.1	0	0	0	0
8	Dctylsgl	0.15	0.75	7270	0.86	0.58	0.5	60	0.686440677966102	0.23	2	1	0	0.1	1	1	44.0604313496794	1
9	Crstmhls	0.15	0.5	120	0.11	0.33	0.5	60	0.838983050847458	0.35	2	1	0	0.1	10	1	5	1
11	Rnnclsbl	0.1	0.75	86	3.39	0.1	0.5	46.66	0.508474576271186	0.13	4	1	0	0.1	1	1	5	1
12	Achllmll	0.1	0.75	2796	0.13	0.8	0.5	60	0.542372881355932	0.14	2	1	0	0.1	10	1	23.3015019514276	1
13	Dschmpsf	0.1	0.75	18	0.43	0.53	0.5	40	0.491525423728814	0.12	5	1	0	0.1	1	1	5	1
14	Lntdnatm	0.1	1	24	0.77	0.56	0.5	46.66	0.73728813559322	0.27	4	1	0	0.1	1	1	5	1
15	Crsmplst	0.15	0.75	12000	1.54	5.31	0.5	60	0.508474576271186	0.13	2	1	0.5	1	1	1	61.5384615384615	1
16	Glmplstr	0.15	0.5	6292	0.9	0.21	0.5	40	1	0.5	5	1	0.5	0.1	10	0	52.433935157205	1
17	Mnthaqtc	0.1	0.5	2654	0.11	0.42	0.5	40	0.838983050847458	0.35	5	1	0.5	0.1	10	1	29.4908476589604	1
18	Anthxnto	0.1	0.62	72	0.57	0.3	0.5	46.66	0.838983050847458	0.35	4	1	0	0.1	1	1	5	1
19	Carexact	0.1	0.75	9438	0.39	0.5	0.5	40	0.38135593220339	0.07	5	1	0.5	0.1	10	1	52.433935157205	1
20	Crxactfr	0.1	1	12584	0.98	0.72	0.5	40	0.449152542372881	0.1	5	1	0.5	0.1	1	1	52.433935157205	1
