ID	Species	AllocSeed	LMR	maxMass	mSeed	Dist	pEstab	Gmax	SLA1	palat	memo	RAR	respAnox	propSex	meanSpacerLength	Resshare	mSpacer	clonal	salinity
1	Phrgmtsa	0.1	0.5	233046	0.13	23.26	0.5	40	0.54	0.5	5	1	0.5	0.1	25	1	250	1	1
2	Blbschnm	0.1	0.75	5462	2.48	0.27	0.5	40	0.41	1	5	1	0.5	0.1	25	1	36.4133191726036	1	6
3	Lolmprnn	0.15	0.75	44	1.99	0.31	0.5	60	0.85	0.25	2	1	0	1	1	1	5	1	1
4	Jncsgrrd	0.1	0.75	682	0.06	0.33	0.5	20	0.47	1	8	1	0.5	0.1	10	1	9.09666190792688	1	7
5	Ppratnss	0.1	0.7	644	0.27	0.43	0.5	60	0.76	0.25	2	1	0	0.1	10	1	9.16766069353935	1	0
6	Trxcmoff	0.15	1	312	0.63	0.76	0.5	46.66	0.97	0.25	4	1	0	0.1	0	0	0	0	2
7	Trflmprt	0.1	0.68	5006	1.53	0.18	0.5	60	0.79	1	2	1	0	0.1	0	0	0	0	1
8	Dctylsgl	0.15	0.66	6462	0.86	0.58	0.5	60	0.82	1	2	1	0	0.1	1	1	44.3556204265534	1	0
9	Crstmhls	0.15	0.52	124	0.11	0.29	0.5	60	0.99	1	2	1	0	0.1	10	1	5	1	1
10	Ptrivils	0.1	0.75	32	0.14	0.19	0.5	46.66	1.03	1	4	1	0	0.1	10	1	5	1	1
12	Achllmll	0.1	0.71	2680	0.13	0.83	0.5	60	0.63	0.25	2	1	0	0.1	10	1	23.4954775439731	1	1
13	Dschmpsf	0.1	0.75	18	0.43	0.53	0.5	40	0.56	1	5	1	0	0.1	1	1	5	1	0
14	Lntdnatm	0.1	1	24	0.77	0.53	0.5	46.66	0.9	0.25	4	1	0	0.1	1	1	5	1	2
15	Crsmplst	0.15	0.75	12000	1.54	5.31	0.5	60	0.6	0.25	2	1	0.5	1	1	1	61.5384615384615	1	0
17	Mnthaqtc	0.1	0.5	2654	0.11	0.41	0.5	40	0.99	1	5	1	0.5	0.1	10	1	29.4908476589604	1	0
18	Anthxnto	0.1	0.65	74	0.57	0.3	0.5	46.66	0.95	1	4	1	0	0.1	1	1	5	1	1
19	Carexact	0.1	0.68	8652	0.39	0.5	0.5	40	0.45	0.5	5	1	0.5	0.1	10	1	52.8208085630973	1	0
20	Crxactfr	0.1	0.87	11012	0.98	0.72	0.5	40	0.53	1	5	1	0.5	0.1	1	1	52.6378262640837	1	0
50	Alpcrsgn	0.15	0.68	136	0.35	0.32	0.5	46.66	0.91	1	4	1	0.5	1	1	1	5	1	2
51	Lychfls-	0.1	0.75	2304	0.18	0.29	0.5	46.66	0.8	0.5	4	1	0.5	0.1	10	1	20.4808253346649	1	0
52	Lzlcmpst	0.1	0.75	300	0.71	0.18	0.5	46.66	0.76	1	4	1	0	0.1	10	1	5.26146445131291	1	0
53	Pstncstv	0.15	0.75	31854	3.46	0.39	0.5	60	1.09	0.5	2	1	0	1	0	0	0	0	0
54	Rnnclsrp	0.1	0.75	1180	2.03	0.22	0.5	46.66	0.86	0.25	4	1	0	0.1	10	1	13.1103355970097	1	1
55	Hlcslnts	0.1	0.68	626	0.35	0.64	0.5	60	1.13	1	2	1	0	0.1	1	1	9.17156806098398	1	1
56	Alpcrspr	0.1	0.5	1248	0.7	0.45	0.5	60	0.83	1	2	1	0	0.1	1	1	17.833217247345	1	0
57	Anthrscs	0.1	0.71	7960	4.12	0.43	0.5	60	0.99	0.5	2	1	0	1	1	1	48.5478266194358	1	0
58	Elymsrpn	0.1	0.68	11000	2.52	0.61	0.5	60	0.82	1	2	1	0	0.1	25	1	61.9901224968829	1	0
59	Eplbmhrs	0.1	0.5	12290	0.12	8.02	0.5	60	0.89	0.5	2	1	0	0.1	10	0	81.9321903446478	1	1
60	Trglchnm	0.1	1	466	0.6	0.34	0.5	20	0.2	1	8	1	0.5	0.1	1	1	5.82537548785689	1	8
