ID	Species	AllocSeed	LMR	maxMass	mSeed	Dist	pEstab	Gmax	SLA1	palat	memo	RAR	respAnox	propSex	meanSpacerLength	Resshare	mSpacer	clonal	salinity
12	Achllmll	0.1	0.68	2680	0.13	0.83	0.5	60	0.274881516587678	1	2	1	0	0.1	10	1	24.181536939712	1	1
93	Agrstscp	0.1	0.62	320	0.06	0.72	0.5	46.66	0.369668246445498	1	4	1	0	0.1	1	1	6.23599136951145	1	0
78	Agrstsst	0.1	0.62	98	0.04	0.55	0.5	46.66	0.417061611374408	0.25	4	1	0.5	0.1	10	1	5	1	0
50	Alpcrsgn	0.15	0.62	136	0.34	0.32	0.5	46.66	0.440758293838863	1	4	1	0.5	1	1	1	5	1	2
56	Alpcrspr	0.1	0.5	1248	0.65	0.45	0.5	60	0.364928909952607	1	2	1	0	0.1	1	1	17.833217247345	1	0
18	Anthxnto	0.1	0.56	74	0.62	0.3	0.5	46.66	0.459715639810427	1	4	1	0	0.1	1	1	5	1	1
97	Artmsmrt	0.15	0.5	456	0.75	0.3	0.5	40	0.23696682464455	0.25	5	1	0	0.1	10	1	9.11443751227006	1	5
77	Astrtrpl	0.15	0.75	350	0.96	1.1	0.5	40	0.341232227488152	0.5	5	1	0.5	1	0	0	0	0	8
76	Atrplxpr	0.2	0.62	13826	2.15	0.31	0.5	20	0.327014218009479	0.25	8	1	0	1	0	0	0	0	0
105	Clmgrstc	0.1	0.58	10666	0.08	1.53	0.5	40	0.274881516587678	0.25	5	1	0.5	0.1	1	1	67.5225813505709	1	0
19	Carexact	0.1	0.62	8652	0.42	0.5	0.5	40	0.213270142180095	0.5	5	1	0.5	0.1	10	1	56.1758768984641	1	0
129	Crxaqtls	0.1	0.75	14988	0.5	0.94	0.5	40	0.227488151658768	0.25	5	1	0.5	0.1	1	1	71.370969067419	1	0
111	Carexhrt	0.1	0.75	2796	2.81	0.23	0.5	60	0.274881516587678	0.25	2	1	0	0.1	1	1	23.3015019514276	1	0
112	Carexngr	0.1	0.87	92	0.73	0.09	0.5	20	0.289099526066351	1	8	1	0.5	0.1	1	1	5	1	1
62	Crsmarvn	0.1	0.58	13314	1.24	4.42	0.5	60	0.180094786729858	0.25	2	1	0	0.1	10	1	78.2805170618871	1	2
98	Cynsrscr	0.1	0.75	908	0.54	0.34	0.5	46.66	0.345971563981043	0.25	4	1	0	0.1	1	1	11.0090464214424	1	0
8	Dctylsgl	0.15	0.58	6462	0.91	0.58	0.5	60	0.445497630331754	1	2	1	0	0.1	1	1	48.3458595820806	1	0
106	Dschmpsc	0.1	0.8	45152	0.21	0.61	0.5	60	0.203791469194313	0.25	2	1	0.5	0.1	1	1	142.60168250779	1	0
58	Elymsrpn	0.1	0.62	11000	2.37	0.61	0.5	60	0.407582938388626	1	2	1	0	0.1	25	1	65.9276066580039	1	0
