ID	Species	MaxAge	allocSeed	LMR	m0	maxMass	mSeed.x	dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	SpacerLengthmax	SpacerLengthmax.1	Resshare	allocSpacer2	mSpacer	respAnox	salinity
93	Agrstscp	200	2.89359487590072	0.62	0.06	340.01	0.06	22.5	0.5	46.66	0.706944061724993	1	4	1	0.25	0.2	1	0.1	6.5	6.5	1	0.00285595222662453	2.76974677684947	0	0
56	Alpcrspr	200	0.119021361761222	0.5	0.75	1881.3	0.75	44.5	0.5	60	0.527693579498484	1	2	1	0.25	0.2	1	0.1	4	4	1	0.00014226509244841	1.37362637362637	0	0
77	Astrtrpl	2	0.342506830029829	0.75	0.575	36091.4	0.575	22.5	0.5	40	0.43923945990631	0.5	5	1	0.25	0.2	0	1	0	0	0	0	0	0.5	8
134	Atrplxlt	2	0.416404432890956	0.5	1.22	10381.74	1.22	0.05	0.5	20	0.417470377514467	0.5	8	1	0.25	0.2	0	1	0	0	0	0	0	0	7
76	Atrplxpr	1	0.215743440233236	0.62	2.41	47217.52	2.41	0.05	0.5	20	0.604023146872417	0.25	8	1	0.25	0.2	0	1	0	0	0	0	0	0	0
2	Blbschnm	200	0.25122746376527	0.75	4.35	5876.4	4.35	55.125	0.5	40	0.297327087351888	0.5	5	1	0.25	0.2	1	0.1	7.8	7.8	1	0.00327130711366702	17.8571428571429	0.5	6
105	Clmgrstc	5	0.66807879864907	0.58	0.075	1693.51	0.075	43	0.5	40	0.477817580600716	0.25	5	1	0.25	0.2	1	0.1	9.5	9.5	1	0.00719372380159377	6.49350649350649	0.5	0
8	Dctylsgl	5	0.139792666398037	0.58	0.76	3248.72	0.76	49.25	0.5	60	0.392119041058143	1	2	1	0.25	0.2	1	0.1	1	1	1	0	25.3602305475504	0	0
99	Elymspyc	200	1.94861043393467	0.62	2.235	1246.78	2.235	39.75	0.5	40	0.444750620005511	0.5	5	1	0.25	0.2	1	0.1	7.5	7.5	1	0.00732841254858738	9.34579439252336	0	6
58	Elymsrpn	200	0.0490942155696999	0.62	1.655	1814.7	1.655	42.625	0.5	60	0.485257646734638	1	2	1	0.25	0.2	1	0.1	4	4	1	0.00213779861159697	8.33333333333333	0	0
66	Glycrflt	200	0.0451158583857352	0.5	1.075	-Inf	1.075	35.125	0.5	40	0.602094240837696	0.5	5	1	0.25	0.2	1	0.1	-Inf	-Inf	1	0	NA	0.5	0
4	Jncsgrrd	200	2.57025052192067	0.75	0.01	1072.15	0.01	18.5	0.5	20	0.317993937723891	1	8	1	0.25	0.2	1	0.1	1.5	1.5	1	0.00983796865623186	25.6410256410256	0.5	7
14	Lntdnatm	200	0.441040476134019	1	0.3	1610.59	0.3	19.625	0.5	46.66	0.930972719757509	0.25	4	1	0.25	0.2	0	0.1	0	0	1	0	0	0	2
90	Phlmprtn	200	0.297023000005991	0.75	0.19	4436.19	0.19	43.25	0.5	60	0.525075778451364	1	2	1	0.25	0.2	1	0.1	5	5	1	0.000536840957666719	3.584229390681	0	0
87	Phlrsarn	200	0.0158108379980828	0.5	0.38	7197.32	0.38	67.25	0.5	60	0	0.5	2	1	0.25	0.2	1	0.1	3.6	3.6	1	0.00161378994264591	30.3030303030303	0.5	0
1	Phrgmtsa	200	0.363335463065529	0.5	0.18	13955.7	0.18	91.125	0.5	40	0.344034169192615	0.5	5	1	0.25	0.2	1	0.1	10	10	1	0.00599830319999079	37.8681626928471	0.5	1
108	Plntglnc	5	0.0395823236551086	1	1.23	1971.64	1.23	25.65	0.5	46.66	0.698952879581152	1	4	1	0.25	0.2	1	0.1	0	0	1	0	5.46809339319025	0	0
91	Plntgmjr	200	0.30493549634169	1	0.29	1948.77	0.29	5.75	0.5	46.66	0.619316616147699	0.25	4	1	0.25	0.2	1	0.1	0	0	1	0	13.3333333333333	0	1
101	Plntgmrt	200	0.370461752235722	1	0.715	6855.84	0.715	14.375	0.5	20	0.31055387158997	1	8	1	0.25	0.2	1	0.1	0	0	1	0	9.92832235567609	0.5	7
95	Ptntllan	200	1.01429472356527	1	0.515	762.35	0.515	6.5	0.5	46.66	0.81262055662717	0.25	4	1	0.25	0.2	1	0.1	6.3	6.3	1	0.0417798203467725	11.6279069767442	0	1
80	Rmxcrsps	5	0.365737444491545	0.66	1.56	92460.14	1.56	26.375	0.5	60	0.447230642050152	0.25	2	1	0.25	0.2	0	0.1	0	0	0	0	0	0	0
54	Rnnclsrp	200	0.11618065707471	0.75	0.91	218.36	0.91	22.5	0.5	46.66	0.50220446403968	0.25	4	1	0.25	0.2	1	0.1	1	1	1	0.002074987991007	2.68817204301075	0	1
103	Slcrnerp	1	4.21192392474496	0.5	0.2	4612.8	0.2	3.75	0.5	20	0.118765500137779	0.5	8	1	0.25	0.2	0	1	0	0	0	0	0	0.5	9
104	Suadmrtm	1	0.845363508912477	0.5	1.09	2923.61	1.09	0.05	0.5	20	0.452190686139432	0.5	8	1	0.25	0.2	0	1	0	0	0	0	0	0.5	8
