ID	Species	MaxAge	allocSeed	LMR	m0	maxMass	mSeed.x	dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	SpacerLengthmax	SpacerLengthmax.1	Resshare	allocSpacer2	mSpacer	respAnox	salinity
12	Achllmll	200	0.138625861677146	0.68	0.09	1713.03	0.09	17.25	0.5	60	0.281066666666667	1	2	1	0.25	0.2	1	0.1	7.39643347050754	7.39643347050754	1	0.0101186008106891	5	0	1
93	Agrstscp	200	2.89359487590072	0.62	0.05	340.01	0.05	21.25	0.5	46.66	0.701333333333333	1	4	1	0.25	0.2	1	0.1	7.2482853223594	7.2482853223594	1	0.0343345185370012	2.48138957816377	0	0
78	Agrstsst	5	0.202607076350093	0.62	0.05	1062.31	0.05	24	0.5	46.66	0.7816	0.25	4	1	0.25	0.2	1	0.1	4.38957475994513	4.38957475994513	1	0.00939795022162075	2.27840923735148	0.5	0
50	Alpcrsgn	2	0.940754039497307	0.62	0.21	2544.58	0.21	17.25	0.5	46.66	0.6392	1	4	1	0.25	0.2	1	1	1.09739368998628	1.09739368998628	1	0	3.2051282051282	0.5	2
56	Alpcrspr	200	0.119021361761222	0.5	0.555	1881.3	0.555	42.45	0.5	60	0.484933333333333	1	2	1	0.25	0.2	1	0.1	14.6172839506173	14.6172839506173	1	0.0275656580074222	3.11526479750779	0	0
18	Anthxnto	200	0.165919282511211	0.56	0.24	107.91	0.24	28.5	0.5	46.66	0.877866666666667	1	4	1	0.25	0.2	1	0.1	0.460905349794239	0.460905349794239	1	0	4.50163871216503	0	1
140	Arrhnthe	200	2.30319039402396	0.66	2.04	1510.29	2.04	67.75	0.5	60	0.6088	0.5	2	1	0.25	0.2	0	0	0	0	1	0	3.83414421610631	0	0
77	Astrtrpl	2	1.41136961671022	0.75	0.47	36091.4	0.47	24.05	0.5	40	0.405466666666667	0.5	5	1	0.25	0.2	0	1	0	0	0	0	0	0.5	8
134	Atrplxlt	2	0.416404432890956	0.5	1.22	10381.74	1.22	0.05	0.5	20	0.404	0.5	8	1	0.25	0.2	0	1	0	0	0	0	0	0	7
76	Atrplxpr	1	0.215743440233236	0.62	2.41	47217.52	2.41	22.6	0.5	20	0.584533333333333	0.25	8	1	0.25	0.2	0	1	0	0	0	0	0	0	0
2	Blbschnm	200	0.971924410332458	0.75	4.08	29313.74	4.08	53	0.5	40	0.3204	0.5	5	1	0.25	0.2	1	0.1	13.4979423868313	13.4979423868313	1	0.0682262237946876	18.8679245283019	0.5	6
111	Carexhrt	200	0.368299795389003	0.75	1.87	957.81	1.87	15	0.5	60	0.445066666666667	0.25	2	1	0.25	0.2	1	0.1	0.823045267489712	0.823045267489712	1	0.0228098027408259	33.3333333333333	0	0
105	Clmgrstc	5	0.66807879864907	0.58	0.08	2270.85	0.08	49.5	0.5	40	0.5328	0.25	5	1	0.25	0.2	1	0.1	28.3127572016461	28.3127572016461	1	0.0364233151569697	6.37175324675325	0.5	0
62	Crsmarvn	5	0.166637726192652	0.58	1.78	35753.5	1.78	43.5	0.5	60	0.424	0.25	2	1	0.25	0.2	1	0.1	2.57887517146776	2.57887517146776	1	0.00260476243679849	26.5151515151515	0	2
20	Crxactfr	200	0.38498789346247	0.75	0.665	10768.8	0.665	45.475	0.5	40	0.286933333333333	1	5	1	0.25	0.2	1	0.1	7.00137174211248	7.00137174211248	1	0.0162609914617051	23.2371794871795	0.5	0
98	Cynsrscr	200	2.75154852030282	0.75	0.59	2037.57	0.59	27.65	0.5	46.66	0.544533333333333	0.25	4	1	0.25	0.2	0	0.1	0	0	1	0	1.41442715700141	0	0
8	Dctylsgl	5	0.139792666398037	0.58	0.76	4205.91	0.76	49.25	0.5	60	0.461866666666667	1	2	1	0.25	0.2	1	0.1	0.647462277091907	0.647462277091907	1	0.000861709311419043	30.3030303030303	0	0
106	Dschmpsc	200	2.42951141411011	0.8	0.095	4398.33	0.095	42.125	0.5	60	0.412666666666667	0.25	2	1	0.25	0.2	0	0.1	0	0	1	0	22.2222222222222	0.5	0
99	Elymspyc	200	1.94861043393467	0.62	2.26	4518.43	2.26	37	0.5	40	0.416533333333333	0.5	5	1	0.25	0.2	1	0.1	4.11522633744856	4.11522633744856	1	0.00732841254858738	9.77493801258821	0	6
58	Elymsrpn	200	0.164680963727826	0.62	2.1	1814.7	2.1	39.75	0.5	60	0.4696	1	2	1	0.25	0.2	1	0.1	9.33333333333333	9.33333333333333	1	0.0425315923968215	8.33333333333333	0	0
94	Festcrbr	5	4.64845869297164	0.75	0.54	2280.32	0.54	27.4	0.5	60	0.429066666666667	0.25	2	1	0.25	0.2	1	0.1	13.1522633744856	13.1522633744856	1	0.484239052916845	1.24378109452736	0	7
107	Fstcarnd	5	0.501703577512777	0.58	0.9	2081.48	0.9	45.125	0.5	60	0.738933333333333	1	2	1	0.25	0.2	1	0.1	13.4046639231824	13.4046639231824	1	0.0346819988642817	5	0.5	2
116	Galimvrm	5	0.094732230861899	0.5	0.865	266.54	0.865	6	0.5	40	0.327333333333333	1	5	1	0.25	0.2	1	0.1	1.97530864197531	1.97530864197531	1	0.00421855489183625	2.70264355742297	0	0
68	Galmaprn	2	0.789338471419396	0.5	4.36	2355.3	4.36	29.5	0.5	60	0.697866666666667	0.5	2	1	0.25	0.2	0	1	0	0	0	0	0	0	0
100	Glaxmrtm	50	0.0794519197594756	0.5	0.32	614.38	0.32	3	0.5	20	0.375333333333333	1	8	1	0.25	0.2	0	0.1	0	0	0	0	0	0.5	7
55	Hlcslnts	200	2.82889824830095	0.62	0.12	1807.8	0.12	34	0.5	60	0.7488	1	2	1	0.25	0.2	1	0.1	7.99451303155007	7.99451303155007	1	0.0133827537643374	4.149377593361	0	1
4	Jncsgrrd	200	2.89653304442037	0.75	0.04	1072.15	0.04	13.2	0.5	20	0.278666666666667	1	8	1	0.25	0.2	1	0.1	4.43347050754458	4.43347050754458	1	0.174175824175824	10.9292881032011	0.5	7
119	Lmnmvlgr	200	0.0772041793195738	1	0.75	6479.91	0.75	19.75	0.5	20	0.387466666666667	0.25	8	1	0.25	0.2	0	0.1	0	0	1	0	62.5	0.5	8
14	Lntdnatm	200	0.441040476134019	1	0.495	2633.25	0.495	18.4	0.5	46.66	0.825466666666667	0.25	4	1	0.25	0.2	1	0.1	0.976680384087791	0.976680384087791	1	0.0184373802347141	58.9802130898021	0	2
3	Lolmprnn	1	1.32311130423987	0.75	1.48	1391.16	1.48	26.975	0.5	60	0.568533333333333	0.25	2	1	0.25	0.2	1	1	2.35939643347051	2.35939643347051	1	0.00434554127253618	4.60829493087558	0	1
121	Lycpserp	200	11.5025459265176	0.5	0.2	1745.75	0.2	20.5	0.5	40	0.799066666666667	0.5	5	1	0.25	0.2	0	0.1	0	0	0	0	0	0.5	0
102	Pccnllmr	200	0.342556266776791	0.75	0.53	877.26	0.53	15.75	0.5	20	0.430133333333333	1	8	1	0.25	0.2	1	0.1	2.35939643347051	2.35939643347051	1	0.0140267587397497	1.06157112526539	0.5	8
90	Phlmprtn	200	0.297023000005991	0.75	0.15	4436.19	0.15	41.25	0.5	60	0.620266666666667	1	2	1	0.25	0.2	1	0.1	4.31824417009602	4.31824417009602	1	0.00732796507903401	11.6279069767442	0	0
87	Phlrsarn	200	0.0993569598220761	0.5	0.375	7197.32	0.375	63.225	0.5	60	0.554666666666667	0.5	2	1	0.25	0.2	1	0.1	11.8683127572016	11.8683127572016	1	0.0168635923771048	17.8571428571429	0.5	0
1	Phrgmtsa	200	0.363335463065529	0.5	0.185	26415.64	0.185	98.1	0.5	60	0.365066666666667	0.5	2	1	0.25	0.2	1	0.1	54.8148148148148	54.8148148148148	1	0.0767948194629897	41.6666666666667	0.5	1
108	Plntglnc	5	0.800434393765172	1	0.96	3717.34	0.96	19.85	0.5	46.66	0.574133333333333	1	4	1	0.25	0.2	1	0.1	5.62962962962963	5.62962962962963	1	0.0184417279144131	20.1020102010201	0	0
101	Plntgmrt	200	1.60550286763879	1	0.775	6855.84	0.775	13.15	0.5	20	0.300533333333333	1	8	1	0.25	0.2	1	0.1	58.5514403292181	58.5514403292181	1	0	11.2359550561798	0.5	7
109	Plygnmam	200	1.73806057076296	0.5	0.85	2899.88	0.85	21.5	0.5	40	0.426533333333333	0.5	5	1	0.25	0.2	1	0.1	1.37174211248285	1.37174211248285	1	0	30.3030303030303	0.5	0
5	Ppratnss	200	0.961238010481558	0.66	0.185	576.44	0.185	20.625	0.5	60	0.757466666666667	0.25	2	1	0.25	0.2	1	0.1	56.8669410150892	56.8669410150892	1	0.164786504169747	2.89855072463768	0	0
95	Ptntllan	200	1.01429472356527	1	0.35	1660.89	0.35	6.75	0.5	46.66	0.763066666666667	0.25	4	1	0.25	0.2	1	0.1	13.7174211248285	13.7174211248285	1	0.0417798203467725	8.23577857521031	0	1
10	Ptrivils	200	0.792056074766355	0.75	0.12	173.96	0.12	24	0.5	46.66	0.812533333333333	1	4	1	0.25	0.2	1	0.1	5.3278463648834	5.3278463648834	1	0.000863487191215264	0.282805429864253	0	1
80	Rmxcrsps	5	0.365737444491545	0.66	1.56	92460.14	1.56	26.375	0.5	60	0.4328	0.25	2	1	0.25	0.2	0	0.1	0	0	0	0	0	0	0
54	Rnnclsrp	200	0.447245017584994	0.75	1.53	1727.12	1.53	16.575	0.5	46.66	0.5408	0.25	4	1	0.25	0.2	1	0.1	2.54046639231824	2.54046639231824	1	0.00348875747902385	2.89855072463768	0	1
88	Rumxacts	200	0.41245766455603	0.65	0.33	5376.3	0.33	35.65	0.5	60	0.574933333333333	1	2	1	0.25	0.2	1	0.1	4.53223593964335	4.53223593964335	1	0.0567151881351277	83.3333333333333	0	0
103	Slcrnerp	1	4.21192392474496	0.5	0.2	6467.14	0.2	8.25	0.5	20	0.136266666666667	0.5	8	1	0.25	0.2	0	1	0	0	0	0	0	0.5	9
137	Sprglrmd	200	0.204854368932039	0.5	0.08	526.81	0.08	4	0.5	20	0.339733333333333	0.5	8	1	0.25	0.2	0	1	0	0	0	0	0	0.5	8
124	Sprtnang	200	0.00250069463739928	0.5	0.28	3125.62	0.28	34.95	0.5	20	0.2656	0.25	8	1	0.25	0.2	1	1	3.45679012345679	3.45679012345679	1	0.000518030505003333	11.7647058823529	0.5	8
146	Stllrgrm	200	0.031190204635643	0.5	0.17	430.14	0.17	18	0.5	40	0.676533333333333	1	5	1	0.25	0.2	0	0	0	0	0	0	0	0	0
104	Suadmrtm	1	0.845363508912477	0.5	1.09	2923.61	1.09	16.95	0.5	20	0.436533333333333	0.5	8	1	0.25	0.2	0	1	0	0	0	0	0	0.5	8
84	Trflmrpn	2	0.525612472160356	0.58	0.5	422.69	0.5	7.5	0.5	46.66	0.715333333333333	0.25	4	1	0.25	0.2	1	0.1	17.3443072702332	17.3443072702332	1	0.146820642527512	3.97896719510281	0	2
