"ID" "Species" "AllocSeed" "LMR" "maxMass" "mSeed" "Dist" "pEstab" "Gmax" "SLA1" "palat" "memo" "RAR" "respAnox" "propSex" "meanSpacerLength" "Resshare" "mSpacer" "clonal" "salinity"
"28" 3 "Lolmprnn" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"32" 90 "Phlmprtn" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"37" 5 "Ppratnss" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"4" 3 "Lolmprnn1" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"5" 3 "Lolmprnn2" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"6" 3 "Lolmprnn3" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"7" 3 "Lolmprnn4" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"8" 3 "Lolmprnn5" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"9" 3 "Lolmprnn6" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"10" 3 "Lolmprnn7" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"11" 3 "Lolmprnn8" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"12" 3 "Lolmprnn9" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"13" 3 "Lolmprnn10" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"14" 3 "Lolmprnn11" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"15" 3 "Lolmprnn12" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"16" 3 "Lolmprnn13" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"17" 3 "Lolmprnn14" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"18" 3 "Lolmprnn15" 0.15 0.75 405717.403820596 1.97 0.31 0.5 60 0.42654028436019 0.25 2 1 0 1 1 1 10 1 1
"19" 90 "Phlmprtn1" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"20" 90 "Phlmprtn2" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"21" 90 "Phlmprtn3" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"22" 90 "Phlmprtn4" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"23" 90 "Phlmprtn5" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"24" 90 "Phlmprtn6" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"25" 90 "Phlmprtn7" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"26" 90 "Phlmprtn8" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"27" 90 "Phlmprtn9" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"281" 90 "Phlmprtn10" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"29" 90 "Phlmprtn11" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"30" 90 "Phlmprtn12" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"31" 90 "Phlmprtn13" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"321" 90 "Phlmprtn14" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"33" 90 "Phlmprtn15" 0.1 0.75 365933.070386378 0.58 0.05 0.5 60 0.360189573459716 1 2 1 0 0.1 1 1 10 1 0
"34" 5 "Ppratnss1" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"35" 5 "Ppratnss2" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"36" 5 "Ppratnss3" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"371" 5 "Ppratnss4" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"38" 5 "Ppratnss5" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"39" 5 "Ppratnss6" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"40" 5 "Ppratnss7" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"41" 5 "Ppratnss8" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"42" 5 "Ppratnss9" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"43" 5 "Ppratnss10" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"44" 5 "Ppratnss11" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"45" 5 "Ppratnss12" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"46" 5 "Ppratnss13" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"47" 5 "Ppratnss14" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
"48" 5 "Ppratnss15" 0.1 0.66 214495.399354147 0.27 0.43 0.5 60 0.383886255924171 0.25 2 1 0 0.1 10 1 10 1 0
