ID Species MaxAge AllocSeed LMR m0 MaxMass mSeed Dist pEstab Gmax SLA palat memo RAR growth mThres clonal propSex meanSpacerLength sdSpacerlength Resshare AllocSpacer mSpacer
1 Phrgmtsa 100 0.1 0.5 0.13 233046 0.13 23.26 0.5 40 0.54 0.5 5 1 0.25 0.2 1 0.1 25 25 1 0.05 250
2 Blbschnm 100 0.1 0.75 2.48 5462 2.48 0.27 0.5 40 0.41 1 5 1 0.25 0.2 1 0.1 25 25 1 0.05 36.4133191726036
3 Lolmprnn 100 0.15 0.75 1.99 44 1.99 0.31 0.5 60 0.85 0.25 2 1 0.25 0.2 1 1 1 1 1 0.05 5
4 Jncsgrrd 100 0.1 0.75 0.06 682 0.06 0.33 0.5 20 0.47 1 8 1 0.25 0.2 1 0.1 10 10 1 0.05 9.09666190792688
5 Ppratnss 100 0.1 0.7 0.27 644 0.27 0.43 0.5 60 0.76 0.25 2 1 0.25 0.2 1 0.1 10 10 1 0.05 9.16766069353935
6 Trxcmoff 100 0.15 1 0.63 312 0.63 0.76 0.5 46.66 0.97 0.25 4 1 0.25 0.2 0 0.1 0 0 0 0 0
7 Trflmprt 100 0.1 0.68 1.53 5006 1.53 0.18 0.5 60 0.79 1 2 1 0.25 0.2 0 0.1 0 0 0 0 0
8 Dctylsgl 100 0.15 0.66 0.86 6462 0.86 0.58 0.5 60 0.82 1 2 1 0.25 0.2 1 0.1 1 1 1 0.05 44.3556204265534
9 Crstmhls 100 0.15 0.52 0.11 124 0.11 0.29 0.5 60 0.99 1 2 1 0.25 0.2 1 0.1 10 10 1 0.05 5
10 Ptrivils 100 0.1 0.75 0.14 32 0.14 0.19 0.5 46.66 1.03 1 4 1 0.25 0.2 1 0.1 10 10 1 0.05 5
12 Achllmll 100 0.1 0.71 0.13 2680 0.13 0.83 0.5 60 0.63 0.25 2 1 0.25 0.2 1 0.1 10 10 1 0.05 23.4954775439731
13 Dschmpsf 100 0.1 0.75 0.43 18 0.43 0.53 0.5 40 0.56 1 5 1 0.25 0.2 1 0.1 1 1 1 0.05 5
14 Lntdnatm 100 0.1 1 0.77 24 0.77 0.53 0.5 46.66 0.9 0.25 4 1 0.25 0.2 1 0.1 1 1 1 0.05 5
15 Crsmplst 100 0.15 0.75 1.54 12000 1.54 5.31 0.5 60 0.6 0.25 2 1 0.25 0.2 1 1 1 1 1 0.05 61.5384615384615
17 Mnthaqtc 100 0.1 0.5 0.11 2654 0.11 0.41 0.5 40 0.99 1 5 1 0.25 0.2 1 0.1 10 10 1 0.05 29.4908476589604
18 Anthxnto 100 0.1 0.65 0.57 74 0.57 0.3 0.5 46.66 0.95 1 4 1 0.25 0.2 1 0.1 1 1 1 0.05 5
19 Carexact 100 0.1 0.68 0.39 8652 0.39 0.5 0.5 40 0.45 0.5 5 1 0.25 0.2 1 0.1 10 10 1 0.05 52.8208085630973
20 Crxactfr 100 0.1 0.87 0.98 11012 0.98 0.72 0.5 40 0.53 1 5 1 0.25 0.2 1 0.1 1 1 1 0.05 52.6378262640837
50 Alpcrsgn 100 0.15 0.68 0.35 136 0.35 0.32 0.5 46.66 0.91 1 4 1 0.25 0.2 1 1 1 1 1 0.05 5
51 Lychfls- 100 0.1 0.75 0.18 2304 0.18 0.29 0.5 46.66 0.8 0.5 4 1 0.25 0.2 1 0.1 10 10 1 0.05 20.4808253346649
52 Lzlcmpst 100 0.1 0.75 0.71 300 0.71 0.18 0.5 46.66 0.76 1 4 1 0.25 0.2 1 0.1 10 10 1 0.05 5.26146445131291
53 Pstncstv 100 0.15 0.75 3.46 31854 3.46 0.39 0.5 60 1.09 0.5 2 1 0.25 0.2 0 1 0 0 0 0 0
54 Rnnclsrp 100 0.1 0.75 2.03 1180 2.03 0.22 0.5 46.66 0.86 0.25 4 1 0.25 0.2 1 0.1 10 10 1 0.05 13.1103355970097
55 Hlcslnts 100 0.1 0.68 0.35 626 0.35 0.64 0.5 60 1.13 1 2 1 0.25 0.2 1 0.1 1 1 1 0.05 9.17156806098398
56 Alpcrspr 100 0.1 0.5 0.7 1248 0.7 0.45 0.5 60 0.83 1 2 1 0.25 0.2 1 0.1 1 1 1 0.05 17.833217247345
57 Anthrscs 100 0.1 0.71 4.12 7960 4.12 0.43 0.5 60 0.99 0.5 2 1 0.25 0.2 1 1 1 1 1 0.05 48.5478266194358
58 Elymsrpn 100 0.1 0.68 2.52 11000 2.52 0.61 0.5 60 0.82 1 2 1 0.25 0.2 1 0.1 25 25 1 0.05 61.9901224968829
59 Eplbmhrs 100 0.1 0.5 0.12 12290 0.12 8.02 0.5 60 0.89 0.5 2 1 0.25 0.2 1 0.1 10 10 0 0.05 81.9321903446478
60 Trglchnm 100 0.1 1 0.6 466 0.6 0.34 0.5 20 0.2 1 8 1 0.25 0.2 1 0.1 1 1 1 0.05 5.82537548785689
