TMax	OutFile														
15	ComTest
SimNr	BRes	GrazPrb	NCut	WL	salt
101	100	0	0	-60	0
102	100	0	0	-45	0
103	100	0	0	-30	0
104	100	0	0	-15	0
105	100	0	0	0	0
106	100	0	0	15	0
111	50	0	0	-60	0
112	50	0	0	-45	0
113	50	0	0	-30	0
114	50	0	0	-15	0
115	50	0	0	0	0
116	50	0	0	15	0
201	100	0.5	3	-60	0
202	100	0.5	3	-45	0
203	100	0.5	3	-30	0
204	100	0.5	3	-15	0
207	100	0	0	-15	3
205	100	0	0	0	3
206	100	0	0	15	3
211	50	0.5	3	-60	0
212	50	0.5	3	-45	0
213	50	0.5	3	-30	0
214	50	0.5	3	-15	0
217	50	0	0	-15	3
215	50	0	0	0	3
216	50	0	0	15	3
