"Jahr" "point.65.x" "sat" "sal" "winter"
1985 -13 0 0 1
1985 -11 0 0 1
1985 -12 0 0 1
1985 -14 0 0 1
1985 -17 0 0 1
1985 -17 0 0 1
1985 -18 0 0 1
1985 -21 0 0 1
1985 -25 0 0 1
1985 -31 0 0 1
1985 -33 0 0 1
1985 -30 0 0 1
1985 -30 0 0 1
1985 -32 0 0 1
1985 -35 0 0 1
1985 -41 0 0 1
1985 -41 0 0 1
1985 -41 0 0 1
1985 -41 0 0 1
1985 -40 0 0 1
1985 -40 0 0 1
1985 -39 0 0 1
1985 -42 0 0 1
1985 -42 0 0 1
1985 -39 0 0 1
1985 -37 0 0 1
1985 -37 0 0 1
1985 -37 0 0 1
1985 -36 0 0 1
1985 -37 0 0 1
1986 -11 0 0 11
1986 -13 0 0 11
1986 -16 0 0 11
1986 -18 0 0 11
1986 -20 0 0 11
1986 -24 0 0 11
1986 -23 0 0 11
1986 -20 0 0 11
1986 -22 0 0 11
1986 -25 0 0 11
1986 -24 0 0 11
1986 -26 0 0 11
1986 -32 0 0 11
1986 -39 0 0 11
1986 -41 0 0 11
1986 -42 0 0 11
1986 -46 0 0 11
1986 -44 0 0 11
1986 -42 0 0 11
1986 -45 0 0 11
1986 -46 0 0 11
1986 -47 0 0 11
1986 -47 0 0 11
1986 -42 0 0 11
1986 -39 0 0 11
1986 -40 0 0 11
1986 -41 0 0 11
1986 -42 0 0 11
1986 -43 0 0 11
1986 -40 0 0 11
1987 -17 0 0 5
1987 -19 0 0 5
1987 -20 0 0 5
1987 -20 0 0 5
1987 -22 0 0 5
1987 -25 0 0 5
1987 -26 0 0 5
1987 -26 0 0 5
1987 -29 0 0 5
1987 -33 0 0 5
1987 -34 0 0 5
1987 -35 0 0 5
1987 -34 0 0 5
1987 -35 0 0 5
1987 -39 0 0 5
1987 -40 0 0 5
1987 -31 0 0 5
1987 -27 0 0 5
1987 -29 0 0 5
1987 -29 0 0 5
1987 -29 0 0 5
1987 -31 0 0 5
1987 -34 0 0 5
1987 -36 0 0 5
1987 -36 0 0 5
1987 -32 0 0 5
1987 -30 0 0 5
1987 -33 0 0 5
1987 -34 0 0 5
1987 -35 0 0 5
1988 -4 0 0 11
1988 -6 0 0 11
1988 -9 0 0 11
1988 -13 0 0 11
1988 -16 0 0 11
1988 -20 0 0 11
1988 -23 0 0 11
1988 -28 0 0 11
1988 -33 0 0 11
1988 -36 0 0 11
1988 -36 0 0 11
1988 -40 0 0 11
1988 -45 0 0 11
1988 -47 0 0 11
1988 -46 0 0 11
1988 -43 0 0 11
1988 -43 0 0 11
1988 -43 0 0 11
1988 -45 0 0 11
1988 -48 0 0 11
1988 -51 0 0 11
1988 -53 0 0 11
1988 -53 0 0 11
