"Jahr" "point.36.x" "sat" "sal" "winter"
1985 25 0 0.37 12
1985 27 0 0.37 12
1985 26 0 0.37 12
1985 24 0 0.37 12
1985 21 0 0.37 12
1985 22 0 0.37 12
1985 20 0 0.37 12
1985 18 0 0.37 12
1985 13 0 0.37 12
1985 7 0 0.37 12
1985 6 0 0.37 12
1985 8 0 0.37 12
1985 9 0 0.37 12
1985 7 0 0.37 12
1985 3 0 0.37 12
1985 -2 0 0.37 12
1985 -3 0 0.37 12
1985 -3 0 0.37 12
1985 -2 0 0.37 12
1985 -2 0 0.37 12
1985 -1 0 0.37 12
1985 -1 0 0.37 12
1985 -3 0 0.37 12
1985 -3 0 0.37 12
1985 -1 0 0.37 12
1985 1 0 0.37 12
1985 1 0 0.37 12
1985 1 0 0.37 12
1985 2 0 0.37 12
1985 2 0 0.37 12
1986 27 0 0.37 3
1986 25 0 0.37 3
1986 22 0 0.37 3
1986 20 0 0.37 3
1986 18 0 0.37 3
1986 14 0 0.37 3
1986 15 0 0.37 3
1986 18 0 0.37 3
1986 16 0 0.37 3
1986 14 0 0.37 3
1986 14 0 0.37 3
1986 12 0 0.37 3
1986 6 0 0.37 3
1986 0 0 0.37 3
1986 -3 0 0.37 3
1986 -4 0 0.37 3
1986 -7 0 0.37 3
1986 -5 0 0.37 3
1986 -4 0 0.37 3
1986 -6 0 0.37 3
1986 -8 0 0.37 3
1986 -9 0 0.37 3
1986 -8 0 0.37 3
1986 -4 0 0.37 3
1986 -1 0 0.37 3
1986 -2 0 0.37 3
1986 -3 0 0.37 3
1986 -4 0 0.37 3
1986 -4 0 0.37 3
1986 -2 0 0.37 3
1987 21 0 0.37 14
1987 20 0 0.37 14
1987 19 0 0.37 14
1987 19 0 0.37 14
1987 16 0 0.37 14
1987 14 0 0.37 14
1987 13 0 0.37 14
1987 12 0 0.37 14
1987 9 0 0.37 14
1987 6 0 0.37 14
1987 4 0 0.37 14
1987 4 0 0.37 14
1987 4 0 0.37 14
1987 3 0 0.37 14
1987 0 0 0.37 14
1987 -1 0 0.37 14
1987 7 0 0.37 14
1987 11 0 0.37 14
1987 10 0 0.37 14
1987 9 0 0.37 14
1987 9 0 0.37 14
1987 8 0 0.37 14
1987 5 0 0.37 14
1987 3 0 0.37 14
1987 3 0 0.37 14
1987 6 0 0.37 14
1987 8 0 0.37 14
1987 6 0 0.37 14
1987 4 0 0.37 14
1987 3 0 0.37 14
1988 34 0 0.37 3
1988 33 0 0.37 3
1988 29 0 0.37 3
1988 26 0 0.37 3
1988 22 0 0.37 3
1988 19 0 0.37 3
1988 15 0 0.37 3
1988 10 0 0.37 3
1988 5 0 0.37 3
1988 3 0 0.37 3
1988 2 0 0.37 3
1988 -1 0 0.37 3
1988 -6 0 0.37 3
1988 -8 0 0.37 3
1988 -7 0 0.37 3
1988 -5 0 0.37 3
1988 -4 0 0.37 3
1988 -4 0 0.37 3
1988 -6 0 0.37 3
1988 -9 0 0.37 3
1988 -12 0 0.37 3
1988 -14 0 0.37 3
