"Jahr" "point.70.x" "sat" "sal" "winter"
1985 -7 0 1.31 3
1985 -4 0 1.31 3
1985 -5 0 1.31 3
1985 -7 0 1.31 3
1985 -10 0 1.31 3
1985 -9 0 1.31 3
1985 -10 0 1.31 3
1985 -13 0 1.31 3
1985 -17 0 1.31 3
1985 -23 0 1.31 3
1985 -25 0 1.31 3
1985 -22 0 1.31 3
1985 -22 0 1.31 3
1985 -23 0 1.31 3
1985 -27 0 1.31 3
1985 -32 0 1.31 3
1985 -33 0 1.31 3
1985 -33 0 1.31 3
1985 -32 0 1.31 3
1985 -32 0 1.31 3
1985 -32 0 1.31 3
1985 -31 0 1.31 3
1985 -33 0 1.31 3
1985 -34 0 1.31 3
1985 -31 0 1.31 3
1985 -30 0 1.31 3
1985 -30 0 1.31 3
1985 -29 0 1.31 3
1985 -29 0 1.31 3
1985 -29 0 1.31 3
1986 -4 0 1.31 3
1986 -6 0 1.31 3
1986 -8 0 1.31 3
1986 -10 0 1.31 3
1986 -12 0 1.31 3
1986 -16 0 1.31 3
1986 -15 0 1.31 3
1986 -12 0 1.31 3
1986 -14 0 1.31 3
1986 -17 0 1.31 3
1986 -16 0 1.31 3
1986 -18 0 1.31 3
1986 -24 0 1.31 3
1986 -30 0 1.31 3
1986 -32 0 1.31 3
1986 -34 0 1.31 3
1986 -37 0 1.31 3
1986 -36 0 1.31 3
1986 -34 0 1.31 3
1986 -36 0 1.31 3
1986 -38 0 1.31 3
1986 -39 0 1.31 3
1986 -38 0 1.31 3
1986 -35 0 1.31 3
1986 -32 0 1.31 3
1986 -32 0 1.31 3
1986 -33 0 1.31 3
1986 -34 0 1.31 3
1986 -35 0 1.31 3
1986 -33 0 1.31 3
1987 -10 0 1.31 3
1987 -12 0 1.31 3
1987 -12 0 1.31 3
1987 -12 0 1.31 3
1987 -14 0 1.31 3
1987 -17 0 1.31 3
1987 -18 0 1.31 3
1987 -19 0 1.31 3
1987 -21 0 1.31 3
1987 -24 0 1.31 3
1987 -26 0 1.31 3
1987 -27 0 1.31 3
1987 -26 0 1.31 3
1987 -27 0 1.31 3
1987 -30 0 1.31 3
1987 -31 0 1.31 3
1987 -24 0 1.31 3
1987 -20 0 1.31 3
1987 -21 0 1.31 3
1987 -21 0 1.31 3
1987 -22 0 1.31 3
1987 -23 0 1.31 3
1987 -26 0 1.31 3
1987 -28 0 1.31 3
1987 -28 0 1.31 3
1987 -25 0 1.31 3
1987 -23 0 1.31 3
1987 -25 0 1.31 3
1987 -26 0 1.31 3
1987 -28 0 1.31 3
1988 3 0 1.31 3
1988 1 0 1.31 3
1988 -2 0 1.31 3
1988 -5 0 1.31 3
1988 -8 0 1.31 3
1988 -12 0 1.31 3
1988 -15 0 1.31 3
1988 -20 0 1.31 3
1988 -25 0 1.31 3
1988 -27 0 1.31 3
1988 -28 0 1.31 3
1988 -31 0 1.31 3
1988 -36 0 1.31 3
1988 -38 0 1.31 3
1988 -38 0 1.31 3
1988 -35 0 1.31 3
1988 -34 0 1.31 3
1988 -35 0 1.31 3
1988 -37 0 1.31 3
1988 -39 0 1.31 3
1988 -42 0 1.31 3
1988 -44 0 1.31 3
1988 -45 0 1.31 3
1988 -47 0 1.31 3
1988 -47 0 1.31 3
1988 -46 0 1.31 3
1988 -45 0 1.31 3
1988 -43 0 1.31 3
1988 -39 0 1.31 3
1988 -36 0 1.31 3
1989 -17 0 1.31 3
1989 -19 0 1.31 3
1989 -22 0 1.31 3
1989 -24 0 1.31 3
1989 -25 0 1.31 3
1989 -28 0 1.31 3
1989 -31 0 1.31 3
1989 -36 0 1.31 3
1989 -41 0 1.31 3
1989 -46 0 1.31 3
1989 -47 0 1.31 3
1989 -49 0 1.31 3
1989 -55 0 1.31 3
1989 -59 0 1.31 3
1989 -62 0 1.31 3
1989 -60 0 1.31 3
1989 -57 0 1.31 3
1989 -60 0 1.31 3
1989 -59 0 1.31 3
1989 -55 0 1.31 3
1989 -55 0 1.31 3
1989 -56 0 1.31 3
1989 -53 0 1.31 3
1989 -50 0 1.31 3
1989 -52 0 1.31 3
1989 -53 0 1.31 3
1989 -53 0 1.31 3
1989 -53 0 1.31 3
1989 -51 0 1.31 3
1989 -49 0 1.31 3
1990 -15 0 1.31 3
1990 -17 0 1.31 3
1990 -20 0 1.31 3
1990 -22 0 1.31 3
1990 -23 0 1.31 3
1990 -26 0 1.31 3
1990 -29 0 1.31 3
