"Jahr" "point.13.x" "sat" "sal" "winter"
1985 -147 0 0 0
1985 -143 0 0 0
1985 -144 0 0 0
1985 -148 0 0 0
1985 -155 0 0 0
1985 -154 0 0 0
1985 -156 0 0 0
1985 -164 0 0 0
1985 -175 0 0 0
1985 -192 0 0 0
1985 -198 0 0 0
1985 -191 0 0 0
1985 -190 0 0 0
1985 -195 0 0 0
1985 -204 0 0 0
1985 -217 0 0 0
1985 -220 0 0 0
1985 -218 0 0 0
1985 -216 0 0 0
1985 -215 0 0 0
1985 -215 0 0 0
1985 -214 0 0 0
1985 -220 0 0 0
1985 -223 0 0 0
1985 -217 0 0 0
1985 -213 0 0 0
1985 -214 0 0 0
1985 -213 0 0 0
1985 -212 0 0 0
1985 -212 0 0 0
1986 -144 0 0 0
1986 -147 0 0 0
1986 -152 0 0 0
1986 -158 0 0 0
1986 -163 0 0 0
1986 -173 0 0 0
1986 -172 0 0 0
1986 -163 0 0 0
1986 -169 0 0 0
1986 -176 0 0 0
1986 -173 0 0 0
1986 -177 0 0 0
1986 -192 0 0 0
1986 -208 0 0 0
1986 -217 0 0 0
1986 -220 0 0 0
1986 -231 0 0 0
1986 -227 0 0 0
1986 -220 0 0 0
1986 -226 0 0 0
1986 -229 0 0 0
1986 -230 0 0 0
1986 -228 0 0 0
1986 -217 0 0 0
1986 -210 0 0 0
1986 -213 0 0 0
1986 -218 0 0 0
1986 -222 0 0 0
1986 -224 0 0 0
1986 -219 0 0 0
1987 -154 0 0 0
1987 -158 0 0 0
1987 -161 0 0 0
1987 -161 0 0 0
1987 -168 0 0 0
1987 -176 0 0 0
1987 -178 0 0 0
1987 -180 0 0 0
1987 -186 0 0 0
1987 -196 0 0 0
1987 -201 0 0 0
1987 -203 0 0 0
1987 -203 0 0 0
1987 -204 0 0 0
1987 -216 0 0 0
1987 -221 0 0 0
1987 -201 0 0 0
1987 -189 0 0 0
1987 -192 0 0 0
1987 -194 0 0 0
1987 -195 0 0 0
1987 -199 0 0 0
1987 -208 0 0 0
1987 -214 0 0 0
1987 -215 0 0 0
1987 -208 0 0 0
1987 -202 0 0 0
1987 -206 0 0 0
1987 -210 0 0 0
1987 -212 0 0 0
1988 -134 0 0 0
1988 -137 0 0 0
1988 -142 0 0 0
1988 -147 0 0 0
1988 -153 0 0 0
1988 -161 0 0 0
1988 -168 0 0 0
1988 -179 0 0 0
1988 -190 0 0 0
1988 -195 0 0 0
1988 -194 0 0 0
1988 -200 0 0 0
1988 -210 0 0 0
1988 -214 0 0 0
1988 -213 0 0 0
1988 -209 0 0 0
1988 -208 0 0 0
1988 -211 0 0 0
1988 -216 0 0 0
1988 -221 0 0 0
1988 -224 0 0 0
1988 -225 0 0 0
1988 -225 0 0 0
1988 -230 0 0 0
1988 -232 0 0 0
1988 -232 0 0 0
1988 -229 0 0 0
1988 -226 0 0 0
1988 -217 0 0 0
1988 -208 0 0 0
