ID Species MaxAge AllocSeed LMR m0 MaxMass mSeed Dist pEstab Gmax SLA palat memo RAR growth mThres clonal propSex meanSpacerLength sdSpacerlength Resshare AllocSpacer mSpacer
1 Ant.odor 100 0.05 0.75 0.564 2458 0.564 0.17 0.5 40 0.527 0.5 4 1 0.25 0.2 1 1 1 1 1 0.05 70
2 Arrh.ela 100 0.05 0.75 2.77 6554 2.77 0.358 0.5 60 0.781 1 2 1 0.25 0.2 1 1 1 1 1 0.05 70
3 Brom.ere 100 0.05 0.75 4.23 4916 4.23 0.359 0.5 20 0.403 0.25 6 1 0.25 0.2 1 1 1 1 1 0.05 70
4 Brom.hor 1 1 0.75 1.246 4370 1.246 0.26 0.5 60 0.594 1 2 1 0.25 0.2 1 1 1 1 0 0.05 70
5 Cala.epi 100 0.05 0.75 0.082 8193 0.082 2.359 0.5 60 0.601 0.25 2 1 0.25 0.2 1 1 5 3 1 0.05 70
6 Fest.ovi 100 0.05 0.75 0.324 3823 0.324 0.119 0.5 20 0.334 0.25 6 1 0.25 0.2 1 1 1 1 1 0.05 70
7 Frag.ves 100 0.05 1 0.321 1457 0.321 0.097 0.5 40 0.639 1 4 1 0.25 0.2 1 1 18 5 0 0.05 70
8 Holc.lan 100 0.05 0.75 0.337 5462 0.337 0.311 0.5 60 0.741 0.5 2 1 0.25 0.2 1 1 1 1 1 0.05 70
9 Myos.arv 1 1 0.75 0.306 2185 0.306 0.158 0.5 40 1 1 4 1 0.25 0.2 0 1 0 0 0 0 0
10 Orig.vul 100 0.05 0.5 0.094 2185 0.094 0.364 0.5 40 0.483 0.5 4 1 0.25 0.2 1 1 1 2 1 0.05 70
11 Pimp.sax 100 0.05 0.75 1.03 3277 1.03 0.316 0.5 20 0.501 0.5 6 1 0.25 0.2 0 1 0 0 0 0 0
12 Thym.pul 100 0.05 0.75 0.152 2185 0.152 0.085 0.5 40 0.685 0.5 4 1 0.25 0.2 1 1 3 2 1 0.05 70
13 Ver.cham 100 0.05 0.75 0.196 2185 0.196 0.179 0.5 40 0.636 1 4 1 0.25 0.2 1 1 1 1 1 0.05 70
