Sim	Run	Time	totMass	NInd	abovemass	belowmass	pcBare	mean_WL	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted
0	1	0	270369	6	147593	116569	0.960693	-60	100	0	nan	1	nan	0
0	1	1	1.21561e+006	1448	378840	721655	0.264709	-60	100	0.205279	nan	1	nan	358020
0	1	2	2.92648e+006	460	1.13152e+006	1.54172e+006	0.0900879	-60	100	0.27031	nan	1	nan	1.16603e+006
0	1	3	3.96476e+006	498	1.7407e+006	1.92665e+006	0.0750122	-60	100	0.183927	nan	1	nan	1.81212e+006
0	1	4	3.94755e+006	684	1.71028e+006	1.93029e+006	0.0615845	-60	100	0.220379	nan	1	nan	1.78595e+006
0	1	5	3.95568e+006	594	1.70713e+006	1.94455e+006	0.0673828	-60	100	0.224291	nan	1	nan	1.77854e+006
0	1	6	3.76064e+006	586	1.6187e+006	1.85479e+006	0.0692749	-60	100	0.215533	nan	1	nan	1.67457e+006
0	1	7	3.88279e+006	724	1.64476e+006	1.94474e+006	0.0620117	-60	100	0.213906	nan	1	nan	1.66762e+006
0	1	8	3.90764e+006	527	1.64265e+006	1.97481e+006	0.0653076	-60	100	0.199232	nan	1	nan	1.67793e+006
0	1	9	3.88176e+006	635	1.62562e+006	1.96986e+006	0.0814209	-60	100	0.185621	0.191848	1	1	1.65933e+006
0	1	10	3.91337e+006	573	1.62697e+006	1.99399e+006	0.0621338	-60	100	0.194901	0.211338	1	1	1.65384e+006
0	1	11	3.89085e+006	571	1.60481e+006	2.01514e+006	0.0853271	-60	100	0.176105	0.20842	1	1	1.63521e+006
0	1	12	3.62581e+006	603	1.47829e+006	1.88211e+006	0.0854492	-60	100	0.208279	0.202217	1	1	1.5289e+006
0	1	13	3.75317e+006	666	1.54403e+006	1.92183e+006	0.0612793	-60	100	0.198643	0.203689	1	1	1.57518e+006
0	1	14	3.67145e+006	593	1.5107e+006	1.89084e+006	0.0877686	-60	100	0.199671	0.201618	1	1	1.5333e+006
