Sim	Run	Time	totMass	NInd	abovemass	belowmass	BareGround	pcBare	pcBareSoil	mean_WL	mean_bres	shannon	NPFT	Cutted	Grazed	aLitter	bLitterNNonClonal	NClonal	NGenets	MSeed	NSpacer
1	1	0	789.235	2	388.433	400.802	0.9952	0.9888	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	1	1	1155.2	2	572.274	582.924	0.9936	0.9856	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	1	2	1598.02	2	808.274	789.742	0.992	0.9824	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	1	3	2103.16	2	1097.82	1005.34	0.9904	0.9784	-60	100	0	1	0	0	0	0	0	2	2	0	2
1	1	4	2699.55	3	1448.03	1251.52	0.988	0.9744	-60	100	0	1	0	0	0	0	0	3	2	0	1
1	1	5	3182.91	3	1754.92	1427.99	0.9856	0.9704	-60	100	0	1	0	0	0	0	0	3	2	0	3
1	1	6	3696.88	3	2093.99	1602.89	0.9836	0.9676	-60	100	0	1	0	0	0	0	0	3	2	0	3
1	1	7	4221.81	3	2451.14	1770.67	0.9816	0.9652	-60	100	0	1	0	0	0	0	0	3	2	0	3
1	1	8	4746.08	3	2825.28	1920.79	0.98	0.9632	-60	100	0	1	0	0	0	0	0	3	2	0	3
1	1	9	5246.48	3	3204.74	2041.74	0.9784	0.9608	-60	100	0	1	0	0	0	0	0	3	2	0	3
1	1	10	5752.34	3	3583.76	2168.58	0.9764	0.9596	-60	100	0	1	0	0	0	0	0	3	2	0	3
1	1	11	6237.86	4	3962.01	2275.85	0.9748	0.9576	-60	100	0	1	0	0	0	0	0	4	2	0	2
1	1	12	6532.69	4	4197.08	2335.6	0.9732	0.956	-60	100	0	1	0	0	0	0	0	4	2	0	4
1	1	13	6844.27	4	4435.05	2409.22	0.972	0.9556	-60	100	0	1	0	0	0	0	0	4	2	0	4
1	1	14	7179.83	6	4677.43	2502.4	0.9708	0.9548	-60	100	0	1	0	0	0	0	0	6	2	0	2
1	1	15	7616.49	6	4822.35	2601.01	0.9688	0.9532	-60	100	0	1	0	0	0	0	0	6	2	193.139	6
1	1	16	8064.86	6	5024.21	2739.09	0.9676	0.9528	-60	100	0	1	0	0	0	0	0	6	2	301.555	6
1	1	17	8135.42	5	4891.61	2860.83	0.9664	0.9512	-60	100	0.151935	1	0	0	197.915	9.75766	0	5	2	382.973	5
1	1	18	8577.32	5	5088.23	2987.98	0.9648	0.9504	-60	100	0.151935	1	0	0	98.9575	4.87883	0	5	2	501.107	5
1	1	19	9008	5	5376.62	3130.27	0.9644	0.9496	-60	100	0.151935	1	0	0	49.4787	2.43942	0	5	2	501.107	5
1	1	20	8994.92	6	5721.27	3273.65	0.9628	0.948	-60	100	0.132129	1	0	0	24.7394	1.21971	0	6	2	0	4
1	1	21	9802.19	1247	6241.63	3560.56	0.9604	0.9456	-60	100	0.000800961	1	0	0	12.3697	0.609854	0	1247	1243	0	6
1	1	22	11182.1	1566	6690.25	4491.84	0.4628	0.4564	-60	100	0	1	0	0	0	0	0	1566	1562	0	1236
1	1	23	13408.1	1666	7241.5	6166.57	0.334	0.328	-60	100	0	1	0	0	0	0	0	1666	1662	0	1548
1	1	24	13666.2	1714	6288.32	7377.86	0.2916	0.2868	-60	100	0.00058292	1	0	0	808.413	572.016	0	1714	1711	0	1649
1	1	25	19112.9	1699	7259.56	11853.4	0.2708	0.1296	-60	100	0.000588062	1	0	0	404.206	286.008	0	1699	1696	0	1699
1	1	26	26427.8	1686	8700.2	17727.6	0.2764	0.0952	-60	100	0.000592593	1	0	0	202.103	143.004	0	1686	1683	0	1686
1	1	27	35774.1	1664	10793.3	24980.8	0.2808	0.0508	-60	100	0.0023952	1	0	0	106.998	96.7362	0	1664	1661	0	1664
1	1	28	46780.8	1651	13573	33207.8	0.2864	0.0248	-60	100	0.00718978	1	0	0	81.2173	152.041	0	1651	1648	0	1651
1	1	29	50241.9	1620	8427.42	41814.5	0.28	0.0096	-60	100	0.0168451	1	0	0	53.4208	339.433	0	1620	1615	0	0
1	1	30	62661.9	1588	12685	49977	0.308	0.0036	-60	100	0.0329087	1	0	0	106.917	725.46	0	1588	1583	0	1557
1	1	31	73074.2	1456	16813.7	56260.5	0.274	0.0016	-60	100	0.0742443	1	0	0	360.61	1970.43	0	1456	1451	0	1442
1	1	32	79945.6	1244	20552.2	59393.4	0.2428	0.0012	-60	100	0.153843	1	0	0	935.47	4352.48	0	1244	1239	0	1228
