Sim	Run	Time	totMass	NInd	abovemass	belowmass	pcBare	mean_WL	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted
0	1	0	2118.47	52	406.391	1557.33	0.994995	-24	19	0.969959	nan	3	nan	0
0	1	1	4091.79	100	635.636	3056.41	0.991516	-24	19	0.963229	nan	3	nan	373.254
0	1	2	5695.03	167	848.045	4318.15	0.986877	-24	19	0.932487	nan	3	nan	457.701
0	1	3	8069.24	195	1258.35	6119.08	0.983826	-24	19	0.950711	nan	3	nan	682.093
0	1	4	8990.19	232	1454.87	6737.19	0.981384	-24	19	0.915951	nan	3	nan	820.619
0	1	5	8967.43	245	1501.77	6665.32	0.981018	-24	19	0.879738	nan	3	nan	760.807
0	1	6	9090.62	267	1550.22	6680.34	0.979736	-24	19	0.819078	nan	3	nan	835.632
0	1	7	9793.35	294	1530.85	7362.03	0.978455	-24	19	0.796909	nan	3	nan	784.158
0	1	8	10046.2	325	1612.3	7462.08	0.976379	-24	19	0.774864	nan	3	nan	829.011
0	1	9	12014.8	365	2053.3	8831.26	0.972839	-24	19	0.752633	0.875556	3	3	1094.5
0	1	10	11191.1	364	1845.98	8298.92	0.97345	-24	19	0.750609	0.853621	3	3	930.974
0	1	11	11178.2	365	1720.4	8217.8	0.973083	-24	19	0.725982	0.829896	3	3	802.3
0	1	12	12408.3	397	1936.03	9231	0.970947	-24	19	0.738179	0.810465	3	3	987.278
0	1	13	11153.7	387	1699.6	8214.26	0.971558	-24	19	0.724516	0.787846	3	3	830.652
0	1	14	13376.4	400	2087.54	9843.7	0.969604	-24	19	0.745724	0.770823	3	3	1088.54
0	1	15	14053.3	430	2269.6	10269.3	0.967102	-24	19	0.776184	0.760468	3	3	1229.06
0	1	16	15669.6	435	2669.62	11458.3	0.96582	-24	19	0.789961	0.757556	3	3	1450.2
0	1	17	15891.6	425	2653.58	11487.5	0.965637	-24	19	0.79032	0.756897	3	3	1529.46
0	1	18	16592.5	428	2791.81	12035.3	0.965271	-24	19	0.79565	0.758976	3	3	1616.41
0	1	19	14719.5	449	2355.51	10774.2	0.96521	-24	19	0.78357	0.762069	3	3	1237.51
