Sim	Run	Time	Inds	seeds	shootmass	rootmass	PFT
1	1	29	1620	641	0.0356	8427.42	Achllmll
1	1	59	383	34102	0.886533	78012.2	Achllmll
1	1	89	441	51572	0.933833	79734.9	Achllmll
1	2	29	1310	284	0.022	7410.19	Achllmll
1	2	59	368	37587	0.9104	80289.7	Achllmll
1	2	89	450	54046	0.918067	77632.8	Achllmll
1	3	29	1321	306	0.0228	6926	Achllmll
1	3	59	381	37717	0.923	76762.9	Achllmll
1	3	89	467	52700	0.9354	77746.7	Achllmll
1	4	29	1740	727	0.0372	8949.48	Achllmll
1	4	59	372	33142	0.906333	79044.5	Achllmll
1	4	89	441	53479	0.938333	78846.3	Achllmll
1	5	29	1388	331	0.0208	7381.79	Achllmll
1	5	59	363	36688	0.928067	76776.2	Achllmll
1	5	89	449	53367	0.938533	80205.8	Achllmll
2	1	29	2	0	0.0016	16	Agrstscp
2	1	59	2	0	0.0016	8	Agrstscp
2	1	89	1	0	0.0004	2	Agrstscp
2	2	29	2	0	0.0016	16	Agrstscp
2	2	59	2	0	0.0016	8	Agrstscp
2	2	89	2	0	0.0008	4	Agrstscp
2	3	29	2	0	0.0016	16	Agrstscp
2	3	59	1	0	0.0008	4	Agrstscp
2	3	89	1	0	0.0004	2	Agrstscp
2	4	29	2	0	0.0016	16	Agrstscp
2	4	59	2	0	0.0016	8	Agrstscp
2	4	89	1	0	0.0008	2	Agrstscp
2	5	29	2	0	0.0016	16	Agrstscp
2	5	59	2	0	0.0016	8	Agrstscp
2	5	89	1	0	0.0004	2	Agrstscp
3	1	29	1	0	0.0004	2.45	Agrstsst
3	1	59	1	0	0.0004	1.225	Agrstsst
3	1	89	1	0	0.0004	0.6125	Agrstsst
3	2	29	2	0	0.0008	4.9	Agrstsst
3	3	29	2	0	0.0008	4.9	Agrstsst
3	3	59	1	0	0.0004	1.225	Agrstsst
3	3	89	1	0	0.0004	0.6125	Agrstsst
3	4	29	2	0	0.0008	4.9	Agrstsst
3	4	59	2	0	0.0008	2.45	Agrstsst
3	4	89	2	0	0.0008	1.225	Agrstsst
3	5	29	2	0	0.0008	4.9	Agrstsst
3	5	59	2	0	0.0008	2.45	Agrstsst
4	1	29	73	2	0.0064	194.431	Alpcrsgn
4	1	59	1071	253	0.1472	2336.27	Alpcrsgn
4	1	89	1217	1967	0.5252	4682.7	Alpcrsgn
4	2	29	36	1	0.0032	94.3937	Alpcrsgn
4	2	59	654	78	0.0756	1476.07	Alpcrsgn
4	2	89	1239	1632	0.4852	4376.22	Alpcrsgn
4	3	29	45	1	0.0032	104.982	Alpcrsgn
4	3	59	801	142	0.102	1664.52	Alpcrsgn
4	3	89	1266	1763	0.49	4762.91	Alpcrsgn
4	4	29	57	2	0.0056	132.385	Alpcrsgn
4	4	59	873	173	0.1136	1880.56	Alpcrsgn
4	4	89	1236	1789	0.4964	4696.18	Alpcrsgn
4	5	29	60	2	0.0048	150.489	Alpcrsgn
4	5	59	780	129	0.0976	1652.95	Alpcrsgn
4	5	89	1284	1815	0.5008	4677.31	Alpcrsgn
5	1	29	2	0	0.0032	62.4	Alpcrspr
5	1	59	2	0	0.0024	31.2	Alpcrspr
5	1	89	1	0	0.0008	7.8	Alpcrspr
5	2	29	1	0	0.0016	31.2	Alpcrspr
5	2	59	1	0	0.0012	15.6	Alpcrspr
5	2	89	1	0	0.0008	7.8	Alpcrspr
5	3	29	2	0	0.0032	62.4	Alpcrspr
5	3	59	2	0	0.0024	31.2	Alpcrspr
5	4	29	2	0	0.0032	62.4	Alpcrspr
5	4	59	2	0	0.0024	31.2	Alpcrspr
5	4	89	1	0	0.0016	7.8	Alpcrspr
5	5	29	2	0	0.0032	62.4	Alpcrspr
6	1	29	44	0	0.004	265.116	Anthxnto
6	1	59	740	65	0.1072	4179.36	Anthxnto
6	1	89	1864	1889	0.7948	12221.1	Anthxnto
6	2	29	61	0	0.0056	339.444	Anthxnto
6	2	59	877	116	0.1376	4968.25	Anthxnto
6	2	89	1900	2000	0.827	12230.5	Anthxnto
6	3	29	75	1	0.0072	400.408	Anthxnto
6	3	59	967	115	0.1588	5417.32	Anthxnto
6	3	89	1867	1971	0.826	12003.7	Anthxnto
