Sim	Run	Time	Inds	Juv	seeds	cover	shootmass	PFT
0	1	0	4	0	0	0.00809167	4733.37	Achllmll
0	1	0	5	2	0	0.00571667	692.307	Agrstscp
0	1	0	3	3	0	0.0067	719.921	Agrstsst
0	1	0	7	0	0	0.0191	5873.02	Alpcrsgn
0	1	0	2	2	0	0.00451667	1905.19	Alpcrspr
0	1	0	2	0	0	0.00145	118.781	Anthxnto
0	1	0	7	0	0	0.0163583	4358.83	Arrhnthe
0	1	0	7	0	0	0.08295	77266.6	Astrtrpl
0	1	0	4	0	0	0.00745	4238.76	Atrplxlt
0	1	0	6	0	0	0.0336417	16379.6	Atrplxpr
0	1	0	8	5	0	0.0358333	20275.9	Blbschnm
0	1	0	2	1	0	0.00338333	1047.84	Carexhrt
0	1	0	3	0	0	0.00631667	1795.24	Clmgrstc
0	1	0	8	1	0	0.0258583	24760.7	Crxactfr
0	1	0	4	0	0	0.0120583	3418.63	Cynsrscr
0	1	0	1	0	0	0.00243333	1438.8	Dctylsgl
0	1	0	6	0	0	0.0238833	9142.58	Dschmpsc
0	1	0	7	1	0	0.016775	8844.06	Elymspyc
0	1	0	5	2	0	0.00895	3422.63	Elymsrpn
0	1	0	20	6	0	0.00516667	436.128	Festcrbr
0	1	0	6	1	0	0.0145833	3256.92	Fstcarnd
0	1	0	6	1	0	0.00395	1078.66	Galimvrm
0	1	0	4	0	0	0.011875	3518.49	Galmaprn
0	1	0	5	0	0	0.00298333	1044.94	Glaxmrtm
0	1	0	3	1	0	0.010875	2456.98	Hlcslnts
0	1	0	7	1	0	0.00346667	931.679	Jncsgrrd
0	1	0	6	0	0	0.0229917	10265.7	Lmnmvlgr
0	1	0	9	2	0	0.0527417	8792.67	Lntdnatm
0	1	0	10	1	0	0.0230833	6385.91	Lolmprnn
0	1	0	5	0	0	0.0101167	2237.53	Lycpserp
0	1	0	14	7	0	0.00878333	1509.51	Pccnllmr
0	1	0	2	0	0	0.01315	5626.3	Phlrsarn
0	1	0	7	3	0	0.069525	69537.6	Phrgmtsa
0	1	0	3	0	0	0.009	2311.18	Plntglnc
0	1	0	9	0	0	0.0202917	12598.4	Plntgmrt
0	1	0	5	0	0	0.00883333	4226.23	Plygnmam
0	1	0	1	0	0	0.00235	183.052	Ppratnss
0	1	0	4	0	0	0.01495	2616.76	Ptntllan
0	1	0	2	0	0	0.00138333	93.7727	Ptrivils
0	1	0	6	2	0	0.0116333	3866.25	Rnnclsrp
0	1	0	7	0	0	0.00381667	5565.58	Slcrnerp
0	1	0	3	0	0	0.00115	425.366	Sprglrmd
0	1	0	4	0	0	0.00471667	3793.6	Sprtnang
0	1	0	4	0	0	0.00588333	1039.4	Stllrgrm
0	1	0	6	0	0	0.00911667	4397.75	Suadmrtm
0	1	0	5	6	0	0.00843333	1100.28	Trflmrpn
0	1	0	5	0	0	0.00635	3323.82	Trglchnm
0	1	0	7	0	0	0.0405	7522.13	Trxcmoff
