Sim	Run	T	BM	cPop	cover	PFT
0	1	1	20.2266	22	0.00134277	Dschmpsf
0	1	1	211.707	6	0.00183105	Jncsgrrd
0	1	1	174.458	24	0.00183105	Trglchnm
0	1	2	50.6026	46	0.00274658	Dschmpsf
0	1	2	458.686	11	0.00292969	Jncsgrrd
0	1	2	126.348	43	0.00280762	Trglchnm
0	1	3	89.2583	80	0.00476074	Dschmpsf
0	1	3	526.597	15	0.003479	Jncsgrrd
0	1	3	232.189	72	0.00488281	Trglchnm
0	1	4	110.099	94	0.00567627	Dschmpsf
0	1	4	632.415	20	0.00421143	Jncsgrrd
0	1	4	515.84	81	0.00622559	Trglchnm
0	1	5	142.13	123	0.00744629	Dschmpsf
0	1	5	525.009	20	0.00384521	Jncsgrrd
0	1	5	787.73	89	0.00726318	Trglchnm
0	1	6	167.986	140	0.00836182	Dschmpsf
0	1	6	433.734	18	0.0032959	Jncsgrrd
0	1	6	900.047	87	0.00732422	Trglchnm
0	1	7	193.646	158	0.00970459	Dschmpsf
0	1	7	357.452	12	0.00244141	Jncsgrrd
0	1	7	999.122	97	0.00811768	Trglchnm
0	1	8	204.003	166	0.010437	Dschmpsf
0	1	8	261.704	9	0.00195312	Jncsgrrd
0	1	8	1065.14	119	0.00909424	Trglchnm
0	1	9	244.537	200	0.012207	Dschmpsf
0	1	9	341.05	10	0.00238037	Jncsgrrd
0	1	9	1026.72	115	0.0090332	Trglchnm
0	1	10	283.491	237	0.0145264	Dschmpsf
0	1	10	449.855	11	0.00292969	Jncsgrrd
0	1	10	1319.95	117	0.00964355	Trglchnm
0	1	11	293.562	248	0.0149536	Dschmpsf
0	1	11	324.385	15	0.00268555	Jncsgrrd
0	1	11	1228.03	101	0.00891113	Trglchnm
0	1	12	316.274	258	0.015686	Dschmpsf
0	1	12	409.511	15	0.00311279	Jncsgrrd
0	1	12	994.618	92	0.00775146	Trglchnm
0	1	13	326.439	271	0.0164795	Dschmpsf
0	1	13	406.738	14	0.00274658	Jncsgrrd
0	1	13	1202.86	112	0.00970459	Trglchnm
0	1	14	325.001	271	0.0167847	Dschmpsf
0	1	14	432.819	14	0.00305176	Jncsgrrd
0	1	14	941.785	102	0.00848389	Trglchnm
0	1	15	335.886	279	0.0172119	Dschmpsf
0	1	15	628.993	19	0.0043335	Jncsgrrd
0	1	15	1122.66	102	0.00878906	Trglchnm
0	1	16	355.601	293	0.0180054	Dschmpsf
0	1	16	742.074	24	0.00506592	Jncsgrrd
0	1	16	1171.93	113	0.00964355	Trglchnm
0	1	17	358.243	298	0.0181274	Dschmpsf
0	1	17	919.673	30	0.00628662	Jncsgrrd
0	1	17	1391.71	107	0.00946045	Trglchnm
0	1	18	358.994	299	0.0183105	Dschmpsf
0	1	18	1270.66	38	0.00848389	Jncsgrrd
0	1	18	1023.92	88	0.00756836	Trglchnm
0	1	19	365.327	301	0.0183105	Dschmpsf
0	1	19	1321.54	41	0.00878906	Jncsgrrd
0	1	19	1104.94	86	0.00762939	Trglchnm
0	1	20	371.046	317	0.0194702	Dschmpsf
0	1	20	1174.26	38	0.00793457	Jncsgrrd
0	1	20	810.2	94	0.00738525	Trglchnm
