Sim	Run	T	BM	cPop	cover	PFT
0	1	1	147593	6	0.0393066	Phrgmtsa
0	1	2	378840	1448	0.731946	Phrgmtsa
0	1	3	1.13152e+006	460	0.944163	Phrgmtsa
0	1	4	1.7407e+006	498	0.945143	Phrgmtsa
0	1	5	1.71028e+006	684	0.983375	Phrgmtsa
0	1	6	1.70713e+006	594	0.964842	Phrgmtsa
0	1	7	1.6187e+006	586	0.966866	Phrgmtsa
0	1	8	1.64476e+006	724	0.969191	Phrgmtsa
0	1	9	1.64265e+006	527	0.978817	Phrgmtsa
0	1	10	1.62562e+006	635	0.964224	Phrgmtsa
0	1	11	1.62697e+006	573	0.975865	Phrgmtsa
0	1	12	1.60481e+006	571	0.952954	Phrgmtsa
0	1	13	1.47829e+006	603	0.968243	Phrgmtsa
0	1	14	1.54403e+006	666	0.986132	Phrgmtsa
0	1	15	1.5107e+006	593	0.960186	Phrgmtsa
0	1	16	1.44435e+006	632	0.935144	Phrgmtsa
0	1	17	1.41967e+006	708	0.954639	Phrgmtsa
0	1	18	1.4481e+006	674	0.972338	Phrgmtsa
0	1	19	1.40539e+006	649	0.965634	Phrgmtsa
0	1	20	1.40035e+006	646	0.958267	Phrgmtsa
0	1	21	1.41114e+006	651	0.974492	Phrgmtsa
0	1	22	1.47462e+006	695	0.952359	Phrgmtsa
0	1	23	1.34454e+006	753	0.953496	Phrgmtsa
0	1	24	1.41525e+006	658	0.966898	Phrgmtsa
0	1	25	1.4319e+006	605	0.970456	Phrgmtsa
0	1	26	1.46119e+006	645	0.972363	Phrgmtsa
0	1	27	1.36682e+006	696	0.958279	Phrgmtsa
0	1	28	1.42142e+006	636	0.94901	Phrgmtsa
0	1	29	1.40855e+006	638	0.97113	Phrgmtsa
0	1	30	1.40411e+006	604	0.973591	Phrgmtsa
0	1	31	1.39725e+006	738	0.958803	Phrgmtsa
0	1	32	1.347e+006	669	0.976775	Phrgmtsa
0	1	33	1.42247e+006	654	0.959676	Phrgmtsa
0	1	34	1.4079e+006	692	0.957835	Phrgmtsa
0	1	1	68109.7	3	0.0223389	Phrgmtsa
0	1	2	354169	1127	0.703166	Phrgmtsa
0	1	3	1.26069e+006	405	0.957118	Phrgmtsa
0	1	4	1.63053e+006	600	0.949135	Phrgmtsa
0	1	5	1.77662e+006	569	0.957865	Phrgmtsa
0	1	6	1.74113e+006	597	0.968198	Phrgmtsa
0	1	7	1.71699e+006	590	0.962557	Phrgmtsa
0	1	8	1.70467e+006	630	0.960836	Phrgmtsa
0	1	9	1.67518e+006	600	0.965564	Phrgmtsa
0	1	10	1.63256e+006	692	0.97549	Phrgmtsa
0	1	11	1.61503e+006	642	0.954221	Phrgmtsa
0	1	12	1.4545e+006	721	0.966017	Phrgmtsa
0	1	13	1.47767e+006	639	0.973933	Phrgmtsa
0	1	1	63917.7	3	0.0213623	Phrgmtsa
0	1	2	216806	1055	0.522644	Phrgmtsa
0	1	3	787547	410	0.812826	Phrgmtsa
0	1	4	1.32123e+006	569	0.884603	Phrgmtsa
0	1	5	1.31356e+006	791	0.889089	Phrgmtsa
0	1	6	1.2926e+006	541	0.889887	Phrgmtsa
0	1	7	1.31916e+006	584	0.895888	Phrgmtsa
0	1	8	1.32215e+006	603	0.86735	Phrgmtsa
0	1	1	63917.7	3	0.0213623	Phrgmtsa
0	1	2	216806	1055	0.522644	Phrgmtsa
0	1	3	787547	410	0.812826	Phrgmtsa
